fast_ema,slow_ema,macro_ema,rsi_limit,IS Return %,IS Sharpe,IS Max DD %,IS Trades,OOS Return %,OOS Sharpe,OOS Max DD %,OOS Trades
7,25,150,65,43.95077000000015,2.6549191243477877,7.276426657609003,19,18.742672500000232,1.4415652412438962,11.455803764706445,29
7,25,150,70,41.68368600000017,2.4917399195260375,9.368990778535288,20,16.108531000000383,1.2463649337395135,13.238665289810797,35
7,25,150,75,41.68368600000017,2.4917399195260375,9.368990778535288,20,16.108531000000383,1.2463649337395135,13.238665289810797,35
7,25,150,100,38.444942000000175,2.2713446855375907,12.358416618630008,21,14.303317000000357,0.9634908278373402,13.419688060491493,36
7,25,200,65,42.971361750000206,2.6227205717869437,6.979959493744316,20,18.381174500000203,1.427047744777556,12.418232673993181,28
7,25,200,70,40.70427775000019,2.4589774813747565,8.668216374355492,21,15.747033000000352,1.2234307929072932,14.189071705201245,34
7,25,200,75,40.70427775000019,2.4589774813747565,8.668216374355492,21,15.747033000000352,1.2234307929072932,14.189071705201245,34
7,25,200,100,37.46553375000019,2.237888483494061,11.657642214450211,22,13.941819000000327,0.9460394118702439,14.381543423123919,35
7,25,250,65,43.884349750000204,2.687319678386737,6.9357382170366995,19,20.837706500000195,1.6040542720583861,10.600820277456355,27
7,25,250,70,41.61726575000018,2.521945194663324,7.825510091025787,20,18.203565000000342,1.397237628824732,12.367882117508945,33
7,25,250,75,41.61726575000018,2.521945194663324,7.825510091025787,20,18.203565000000342,1.397237628824732,12.367882117508945,33
7,25,250,100,38.37852175000019,2.2987008064466323,10.814935931120509,21,16.39835100000032,1.0862899990009507,12.535649788832323,34
7,30,150,65,27.500498250000145,1.9606474816077217,7.42950238929057,15,15.662515500000312,1.1846922587462139,12.714679692820537,28
7,30,150,70,25.625218250000124,1.8166721849293794,9.160423539407036,16,10.654764250000358,0.8389166564631634,16.072952710728156,33
7,30,150,75,25.625218250000124,1.8166721849293794,9.160423539407036,16,10.654764250000358,0.8389166564631634,16.072952710728156,33
7,30,150,100,22.38647425000013,1.5791419263513784,12.149849379501758,17,8.849550250000334,0.6381561168153308,17.442132626045332,34
7,30,200,65,28.793320250000125,2.060616418093458,7.1958645594715955,14,15.110113000000297,1.1550696513663703,13.672948813980943,27
7,30,200,70,26.918040250000146,1.9142967636596189,7.967122835972949,15,10.102361750000341,0.8029939771318034,16.491927086160103,32
7,30,200,75,26.918040250000146,1.9142967636596189,7.967122835972949,15,10.102361750000341,0.8029939771318034,16.491927086160103,32
7,30,200,100,23.679296250000107,1.6730752077583335,10.956548676067671,16,8.297147750000319,0.6086535003540633,17.86110700147728,33
7,30,250,65,28.793320250000125,2.060616418093458,7.1958645594715955,14,17.37855100000029,1.3115815535967705,11.971729362147816,26
7,30,250,70,26.918040250000146,1.9142967636596189,7.967122835972949,15,12.370799750000334,0.9572016427406187,14.771410987380563,31
7,30,250,75,26.918040250000146,1.9142967636596189,7.967122835972949,15,12.370799750000334,0.9572016427406187,14.771410987380563,31
7,30,250,100,23.679296250000107,1.6730752077583335,10.956548676067671,16,10.56558575000031,0.7356816029161083,16.14059090269774,32
7,35,150,65,22.44283450000007,1.6120476435125106,8.843804820098738,13,4.6611405000003066,0.4297690632354061,12.995613267670098,26
7,35,150,70,20.291692500000043,1.4546062954809853,9.002987060054556,14,11.047189500000353,0.8265210972816621,14.501334322057863,31
7,35,150,75,20.291692500000043,1.4546062954809853,9.002987060054556,14,11.047189500000353,0.8265210972816621,14.501334322057863,31
7,35,150,100,15.84955050000008,1.1379232039326668,10.236675764265048,15,10.39539850000035,0.7068800725854953,15.003168371634521,32
7,35,200,65,69.15634750000012,3.637024663120429,9.588079009651802,13,4.083750500000247,0.39273272663530084,14.133006101237141,25
7,35,200,70,67.0052055000001,3.486461778768736,9.719992110343686,14,10.469799500000294,0.7913811220958401,15.256041711685484,30
7,35,200,75,67.0052055000001,3.486461778768736,9.719992110343686,14,10.469799500000294,0.7913811220958401,15.256041711685484,30
7,35,200,100,62.56306350000014,3.17173929662919,10.004217457420102,15,9.81800850000029,0.6776626601307437,15.447718790227437,31
7,35,250,65,23.73565650000005,1.709804634811351,8.75081696293058,12,6.3521885000002385,0.5460026370148439,12.261590525126435,24
7,35,250,70,21.58451450000007,1.5495773885355875,8.906639879674392,13,12.738237500000288,0.9352023585823951,13.515870043757126,29
7,35,250,75,21.58451450000007,1.5495773885355875,8.906639879674392,13,12.738237500000288,0.9352023585823951,13.515870043757126,29
7,35,250,100,17.142372500000054,1.2266536338800305,9.246648912709304,14,12.086446500000283,0.7989784223417709,13.701178215482516,30
8,25,150,65,49.36461350000013,2.9992587442907075,6.516782992268616,17,21.050659500000258,1.6054407835981264,11.120222207485238,27
8,25,150,70,47.48933350000016,2.8582238657287657,8.148035469613676,18,16.45250050000036,1.2660273660811054,13.063745429356358,33
8,25,150,75,47.48933350000016,2.8582238657287657,8.148035469613676,18,16.45250050000036,1.2660273660811054,13.063745429356358,33
8,25,150,100,44.25058950000012,2.626068136347885,11.137461309708396,19,14.647286500000337,0.9805651177154268,13.242205526292725,34
8,25,200,65,48.79633875000018,2.9923222815343458,6.482779782774645,17,20.72814200000025,1.594921886643311,12.04218758533265,26
8,25,200,70,46.92105875000016,2.850451687130855,7.44726106543388,18,16.129983000000355,1.2461120252284776,13.985764845682812,32
8,25,200,75,46.92105875000016,2.850451687130855,7.44726106543388,18,16.129983000000355,1.2461120252284776,13.985764845682812,32
8,25,200,100,43.68231475000016,2.6171281250335423,10.436686905528601,19,14.324769000000334,0.9655566141770191,14.175298738503002,33
8,25,250,65,48.79633875000018,2.9923222815343458,6.482779782774645,17,22.996580000000243,1.7593491029532224,10.389492192420018,25
8,25,250,70,46.92105875000016,2.850451687130855,7.44726106543388,18,18.398421000000347,1.4064712104792958,12.30559617154301,31
8,25,250,75,46.92105875000016,2.850451687130855,7.44726106543388,18,18.398421000000347,1.4064712104792958,12.30559617154301,31
8,25,250,100,43.68231475000016,2.6171281250335423,10.436686905528601,19,16.593207000000326,1.0947960069144012,12.472360561735494,32
8,30,150,65,28.107382000000054,1.987185193086463,7.982265884924717,14,4.196781750000264,0.4054485923755874,13.628527897911402,27
8,30,150,70,25.95624000000007,1.8259105101258368,8.219591680548364,15,10.617813250000335,0.8197400338944353,16.305505146758804,32
8,30,150,75,25.95624000000007,1.8259105101258368,8.219591680548364,15,10.617813250000335,0.8197400338944353,16.305505146758804,32
8,30,150,100,21.51409800000006,1.4997639223070975,12.319778073844656,16,9.966022250000332,0.6964393053173568,16.79865644754976,33
8,30,200,65,74.8208950000001,3.9415152934570203,8.734426978890724,14,3.6823602500002606,0.3711181044161347,14.706107231730064,26
8,30,200,70,72.66975300000009,3.7893020251300134,8.850460624308512,15,10.103391750000332,0.7872526275258765,16.69472137079356,31
8,30,200,75,72.66975300000009,3.7893020251300134,8.850460624308512,15,10.103391750000332,0.7872526275258765,16.69472137079356,31
8,30,200,100,68.22761100000007,3.473096491160814,11.12647737041057,16,9.45160075000033,0.669633542879101,17.18787267158452,32
8,30,250,65,29.400204000000073,2.0865187900010835,7.902512645776655,13,5.950798250000252,0.5308938660058703,12.8399854820232,25
8,30,250,70,27.249062000000094,1.922771278102105,8.036110157117378,14,12.371829750000325,0.9368099723831099,14.978399496966462,30
8,30,250,75,27.249062000000094,1.922771278102105,8.036110157117378,14,12.371829750000325,0.9368099723831099,14.978399496966462,30
8,30,250,100,22.806920000000083,1.591112663619726,11.12647737041057,15,11.720038750000322,0.7950386514503806,15.471550797757425,31
8,35,150,65,23.710958250000065,1.6998126598713155,9.354972998060843,11,4.772932000000242,0.4374450682721818,12.568851589017255,24
8,35,150,70,21.559816250000086,1.5408164872118046,9.52034323642165,12,-3.5992877499997578,-0.12171352252236096,17.54494412587522,29
8,35,150,75,21.559816250000086,1.5408164872118046,9.52034323642165,12,-3.5992877499997578,-0.12171352252236096,17.54494412587522,29
8,35,150,100,17.11767425000007,1.2203099134445676,9.881038778994553,13,6.898431250000317,0.5162098991211207,16.55114102640024,31
8,35,200,65,69.13164925000011,3.625981850835285,9.040429866083198,12,3.1815985000002684,0.3316833257102725,13.896791093562816,24
8,35,200,70,66.98050725000012,3.4761093315910605,9.164794082224134,13,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,200,75,66.98050725000012,3.4761093315910605,9.164794082224134,13,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,200,100,62.538365250000105,3.1628509517983217,9.432752974874818,14,5.307097750000344,0.4313466818645861,17.793394661637404,31
8,35,250,65,23.710958250000065,1.6998126598713155,9.354972998060843,11,3.1815985000002684,0.3316833257102725,13.896791093562816,24
8,35,250,70,21.559816250000086,1.5408164872118046,9.52034323642165,12,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,250,75,21.559816250000086,1.5408164872118046,9.52034323642165,12,-5.1906212499997535,-0.22918803852195035,18.906069885159905,29
8,35,250,100,17.11767425000007,1.2203099134445676,9.881038778994553,13,5.307097750000344,0.4313466818645861,17.793394661637404,31
9,25,150,65,44.37566775000018,2.6237559389915526,8.614077296883286,16,16.276609250000252,1.2247130512158189,11.506005366520403,27
9,25,150,70,42.500387750000165,2.492818191084568,8.745082233119769,17,10.888443250000341,0.8519551065514388,14.981068541004634,33
9,25,150,75,42.500387750000165,2.492818191084568,8.745082233119769,17,10.888443250000341,0.8519551065514388,14.981068541004634,33
9,25,150,100,39.26164375000017,2.2764349413228246,11.564215734296393,18,9.083229250000317,0.6484017721945254,16.36513852013495,34
9,25,200,65,43.75086475000021,2.6082823728824875,8.571000231493489,16,15.954091750000249,1.2114881821257548,12.458298623729322,26
9,25,200,70,41.875584750000186,2.4767896499910522,8.700688328191724,17,10.565925750000337,0.8321282226184633,15.228344924576975,32
9,25,200,75,41.875584750000186,2.4767896499910522,8.700688328191724,17,10.565925750000337,0.8321282226184633,15.228344924576975,32
9,25,200,100,38.63684075000019,2.2596041872009387,10.98349394060138,18,8.760711750000315,0.6323709358850697,16.612414903707286,33
9,25,250,65,43.75086475000021,2.6082823728824875,8.571000231493489,16,18.22252975000024,1.3677398734549477,10.745699102750507,25
9,25,250,70,41.875584750000186,2.4767896499910522,8.700688328191724,17,12.83436375000033,0.9856867876525476,13.489117921397098,31
9,25,250,75,41.875584750000186,2.4767896499910522,8.700688328191724,17,12.83436375000033,0.9856867876525476,13.489117921397098,31
9,25,250,100,38.63684075000019,2.2596041872009387,10.98349394060138,18,11.029149750000306,0.7584030409268119,14.873187900527412,32
9,30,150,65,24.26435350000011,1.743262332443843,8.26124647085826,12,6.166577500000244,0.5438914634252557,13.183700627339027,25
9,30,150,70,22.11321150000008,1.582775348031612,8.407360712264659,13,-2.9107894999997597,-0.08924614450057175,17.53485171430722,30
9,30,150,75,22.11321150000008,1.582775348031612,8.407360712264659,13,-2.9107894999997597,-0.08924614450057175,17.53485171430722,30
9,30,150,100,17.67106950000011,1.2590140980407314,8.919994249999968,14,7.967739000000256,0.5838900715366259,16.4749789049841,32
9,30,200,65,69.68504450000009,3.653757294458209,8.964294225613049,13,4.449307000000249,0.4256481650196758,14.587975619926391,25
9,30,200,70,67.53390250000011,3.5032352612985442,9.08777462519535,14,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,200,75,67.53390250000011,3.5032352612985442,9.08777462519535,14,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,200,100,63.091760500000106,3.1884729652014228,9.353844324614885,15,6.250468500000237,0.489187869040736,17.803478103604437,32
9,30,250,65,24.26435350000011,1.743262332443843,8.26124647085826,12,4.449307000000249,0.4256481650196758,14.587975619926391,25
9,30,250,70,22.11321150000008,1.582775348031612,8.407360712264659,13,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,250,75,22.11321150000008,1.582775348031612,8.407360712264659,13,-4.628059999999778,-0.20942091055152598,18.99345834731869,30
9,30,250,100,17.67106950000011,1.2590140980407314,8.919994249999968,14,6.250468500000237,0.489187869040736,17.803478103604437,32
9,35,150,65,69.68772550000011,3.596348251691351,9.067036610873732,11,3.956480000000215,0.3819680094688146,12.63332003480194,23
9,35,150,70,69.68772550000011,3.596348251691351,9.067036610873732,11,-1.0939654999997743,0.04735330250627292,15.517003421803013,27
9,35,150,75,69.68772550000011,3.596348251691351,9.067036610873732,11,-1.0939654999997743,0.04735330250627292,15.517003421803013,27
9,35,150,100,65.24558350000011,3.2785760416794716,9.331875676395065,12,9.403753500000288,0.6464201990830414,17.026707361290985,29
9,35,200,65,69.68772550000011,3.596348251691351,9.067036610873732,11,0.7767967500002442,0.1692747511214795,15.30557643376281,24
9,35,200,70,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,200,75,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,200,100,65.24558350000011,3.2785760416794716,9.331875676395065,12,6.2240702500003176,0.47966257626013326,17.180420209486574,30
9,35,250,65,69.68772550000011,3.596348251691351,9.067036610873732,11,0.7767967500002442,0.1692747511214795,15.30557643376281,24
9,35,250,70,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,250,75,69.68772550000011,3.596348251691351,9.067036610873732,11,-4.273648749999768,-0.1658789875535863,18.233007258045173,28
9,35,250,100,65.24558350000011,3.2785760416794716,9.331875676395065,12,6.2240702500003176,0.47966257626013326,17.180420209486574,30
